location-long,location-lat,date,time
-76.4602304,42.4207776,3/17/2021,15:10:26
-76.460032,42.4208512,3/17/2021,15:11:31
-76.460256,42.4206816,3/17/2021,15:13:35
-76.4602432,42.4207168,3/17/2021,15:16:04
-76.4598912,42.4209984,3/17/2021,15:18:03
-76.4604288,42.4207232,3/17/2021,15:20:21
-76.460256,42.4207008,3/17/2021,15:21:31
-76.4601792,42.420784,3/17/2021,15:23:35
-76.460448,42.4206048,3/17/2021,15:25:38
-76.4600128,42.4208768,3/17/2021,15:27:33
-76.460352,42.4206208,3/17/2021,15:29:31
-76.4600832,42.4208416,3/17/2021,15:31:38
-76.4602176,42.4207648,3/17/2021,15:33:36
-76.4602368,42.4206784,3/17/2021,15:35:35
-76.4605696,42.4207296,3/17/2021,15:37:34
-76.4599616,42.420736,3/17/2021,15:39:31
-76.4605056,42.420608,3/17/2021,15:41:34
-76.4605248,42.4206528,3/17/2021,15:43:31
-76.4602176,42.4208224,3/17/2021,15:45:36
-76.4600384,42.4207968,3/17/2021,15:47:51
-76.4600064,42.4207008,3/17/2021,15:49:39
-76.460416,42.4206912,3/17/2021,15:51:35
-76.460352,42.4207168,3/17/2021,15:53:34
-76.4603776,42.4206912,3/17/2021,15:55:33
-76.4606336,42.4204992,3/17/2021,15:57:34
-76.4602496,42.4206816,3/17/2021,15:59:38
-76.4604288,42.42064,3/17/2021,16:01:55
-76.4600384,42.4206816,3/17/2021,16:03:46
-76.4603264,42.4205312,3/17/2021,16:05:38
-76.4603584,42.4205856,3/17/2021,16:07:44
-76.4601344,42.4207232,3/17/2021,16:09:48
-76.4602368,42.4206048,3/17/2021,16:11:34
-76.46016,42.420592,3/17/2021,16:13:39
-76.4604416,42.4206464,3/17/2021,16:15:43
-76.4602496,42.4206304,3/17/2021,16:17:32
-76.4603968,42.420688,3/17/2021,16:19:32
-76.4603776,42.4205856,3/17/2021,16:21:37
-76.4602752,42.4207168,3/17/2021,16:23:32
-76.460448,42.4205312,3/17/2021,16:25:32
-76.4602496,42.4206496,3/17/2021,16:27:34
-76.460416,42.4205312,3/17/2021,16:29:32
-76.4605568,42.4204832,3/17/2021,16:31:32
-76.4603968,42.420688,3/17/2021,16:33:33
-76.4605504,42.4206688,3/17/2021,16:35:32
